RAJ2000,DEJ2000,pmRA,pmDE
35.71331096082,56.80745606452,-2.226,-2.625
35.71942911025,56.80356697739,-1.761,-1.314
35.70998389411,56.80306079283,0.560,10.792
35.69312096632,56.81691747517,-0.218,-0.308
35.70842363825,56.80820846246,5.248,-6.614
35.45780820095,56.63702158455,2.779,-1.845
35.46990204707,56.64019311711,-3.460,-4.094
35.39779275451,56.62891166380,-0.517,-1.226
35.43009997597,56.66000473577,-1.393,-0.705
35.42311085452,56.64775185292,1.442,1.046
35.40408784269,56.66417081425,-0.773,-0.647
35.40200937843,56.66032263076,-0.496,0.704
35.43314812251,56.67335554925,-1.934,0.486
35.32917875118,56.63703564201,6.270,-3.366
35.34599870002,56.65023578930,-5.947,-5.838
35.33465456877,56.64558831726,0.586,-1.308
35.26146691781,56.63818503700,-3.090,-2.557
35.27571001224,56.63190839783,-0.666,-1.288
35.30447688937,56.65402176694,0.084,-0.092
35.28308230209,56.66691795858,-4.624,-4.298
35.28278297818,56.66347268777,-0.453,-1.261
35.29083748794,56.67311168386,-3.018,1.228
35.35773989780,56.65058412345,-0.648,-1.145
35.36066854492,56.65976618913,-0.957,-0.554
35.35452453897,56.67296400608,-0.752,0.428
35.39261776675,56.67813839077,-1.213,-0.662
35.39939626554,56.66179643011,-0.044,-0.782
35.41945546940,56.68112578358,-4.278,1.376
35.40366894821,56.68121017618,0.050,-3.256
35.33113894113,56.67786484908,-0.002,-2.346
35.33878129064,56.67349628215,-0.564,-1.186
35.34228084874,56.71463457626,3.035,-11.460
35.35147101360,56.72751910500,0.680,-0.442
35.04502437203,56.63604390277,-0.262,0.287
35.00456461538,56.63822131359,-1.435,-3.056
35.06235496913,56.65106553679,3.043,-3.201
35.05566051158,56.64868307968,21.754,-17.760
35.05517510246,56.64189296304,-2.627,-1.586
35.06496572456,56.63964557504,-0.000,-1.299
35.07022007496,56.66362089634,0.090,-2.575
35.03155520397,56.66754577259,-0.693,-1.500
35.04331343254,56.65889915617,-0.654,-1.282
35.12674689763,56.66712246162,-0.474,1.171
35.14159017639,56.67386272395,-0.475,-1.129
35.16020687752,56.69188257710,-0.593,-0.107
35.16787969638,56.68750812073,-0.625,-0.794
35.16235132978,56.68314384436,0.851,-0.265
35.08529459878,56.67731596020,-1.385,-0.329
35.09041184552,56.67360609589,-1.010,-2.551
35.09804891080,56.68978602580,2.522,2.462
35.07287394620,56.69899061320,7.788,-4.288
35.08639090825,56.69363191099,0.048,-0.821
35.10283099935,56.69574192369,-1.586,-0.264
35.12332120975,56.70763209965,-2.748,2.425
35.08934522207,56.72075420484,0.617,-0.296
35.10093953105,56.71430690099,-2.210,0.708
35.24387252093,56.65443336875,-0.944,0.168
35.24383028655,56.64850784249,-3.927,-0.497
35.26716781270,56.67162236011,11.397,-7.269
35.27549395516,56.67205985991,-1.504,0.011
35.28128706841,56.69151542390,3.108,-4.380
35.28344787868,56.68189928007,-1.022,-1.183
35.21605710959,56.68906124039,-0.690,-1.235
35.19009725474,56.67903915267,-1.046,0.873
35.19642536190,56.69627209319,-2.195,0.668
35.23247630328,56.69130045023,0.283,-0.337
35.21661264038,56.70192870384,-0.445,0.100
35.22420859896,56.72512665654,4.399,-3.702
35.29786565033,56.69856543326,-2.808,-0.152
35.29642132752,56.68888074586,-0.797,0.255
35.27569735734,56.70977401855,-0.349,-0.753
35.26492458067,56.70735584659,-1.768,0.354
35.28456312821,56.71001361918,0.437,0.913
35.28845358398,56.70666205997,6.755,-0.682
35.29210464363,56.72362804878,-0.645,-1.316
35.31763251775,56.74248470088,-0.871,0.735
35.26135791346,56.72585679527,-1.098,-0.812
35.24565894114,56.75404038128,-1.339,-0.251
35.25126433127,56.75093942594,1.672,0.547
35.27419450949,56.75189286343,-0.833,-0.437
35.28114689000,56.75889319311,8.971,0.674
35.17585252915,56.69669960040,-0.402,-1.408
35.17422549255,56.68529302374,-0.587,-1.239
35.18220910526,56.70680884006,1.614,-2.910
35.16270840766,56.71873654827,-2.179,0.418
35.19184108968,56.72973891706,0.742,-0.279
35.20539215392,56.73615589087,5.809,-7.531
35.18368293740,56.73009421396,0.671,-1.320
35.17179720058,56.73085313522,-8.820,8.664
35.18212483829,56.73217694919,-1.418,-0.717
35.19273007031,56.74969741034,-0.677,-1.162
35.19492907063,56.73922461009,-0.617,-1.173
35.11970515994,56.72293908820,10.669,-0.167
35.14437102784,56.72183259337,-0.753,-1.183
35.14041012060,56.73207833790,8.851,-2.795
35.15128701143,56.72481354978,-0.506,-1.276
35.12580716387,56.73165058868,1.867,-0.504
35.14874279254,56.77156405634,3.151,-4.384
35.21741292531,56.74655826368,-0.520,-1.271
35.23810486938,56.75222046408,-0.345,0.073
